path,file,model,train_data_prefix,eval_data_prefix,activation_type,layer,layer_num,agg_type,pca_n_components,center_eval,num_train,num_eval,pca_center_eval,pca_train_cumulative_explained_variance_ratio,mean_pca_projection_fraction,median_pca_projection_fraction,mean_pca_residual_fraction,median_pca_residual_fraction,mean_pca_projection_fraction_raw,median_pca_projection_fraction_raw,mean_pca_projection_fraction_centered,median_pca_projection_fraction_centered,mean_pca_residual_fraction_raw,median_pca_residual_fraction_raw,mean_pca_explained_l2_fraction_raw,median_pca_explained_l2_fraction_raw,mean_pca_explained_l2_fraction_centered,median_pca_explained_l2_fraction_centered,mean_pca_cosine_reconstructed_eval_delta,median_pca_cosine_reconstructed_eval_delta,min_pca_cosine_reconstructed_eval_delta,max_pca_cosine_reconstructed_eval_delta,train_mean_delta_norm,mean_cosine_eval_delta_train_mean_delta,median_cosine_eval_delta_train_mean_delta,mean_projection_fraction_eval_delta_train_mean_delta,median_projection_fraction_eval_delta_train_mean_delta,pca_vs_mean_cosine_gain,pca_projection_minus_residual_fraction,k,source_csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_32,last_prompt_token,1,True,5900,1414,True,0.1115170866250991,0.138336643576622,0.1417779177427292,0.6520761847496033,0.6301664113998413,0.138336643576622,0.1417779177427292,0.1921090632677078,0.2065903395414352,0.6520761847496033,0.6301664113998413,0.5233827829360962,0.6023775935173035,0.0430789329111576,0.0426793694496154,0.8228324055671692,0.8303699493408203,0.3469238877296448,0.9688384532928468,134.40335083007812,0.8214972019195557,0.8288326263427734,0.8214972019195557,0.8288326859474182,0.0013352036476135,-0.5137395411729813,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k1.eval_delta_compare.json,mean_prompt.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_32,mean_prompt,1,True,5900,1414,True,0.1448225826025009,0.4180788993835449,0.4225608110427856,0.2944921553134918,0.2947015762329101,0.4180788993835449,0.4225608110427856,0.8068527579307556,0.821926474571228,0.2944921553134918,0.2947015762329101,0.9116548299789428,0.9131288528442384,0.6568213105201721,0.6755632162094116,0.958701491355896,0.9589268565177916,0.9128533601760864,0.978789746761322,36.059669494628906,0.9018229842185974,0.9045365452766418,0.9018229842185974,0.9045366048812866,0.0568785071372985,0.1235867440700531,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_64/last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_64,last_prompt_token,1,True,5900,1414,True,0.1660490781068802,0.2234184294939041,0.2383856773376464,0.7471334934234619,0.7533995509147644,0.2234184294939041,0.2383856773376464,0.2730833888053894,0.2950255572795868,0.7471334934234619,0.7533995509147644,0.4347546398639679,0.4323392510414123,0.0909380689263343,0.0870398879051208,0.6698774695396423,0.6708590388298035,0.3153416514396667,0.9120218753814696,117.38078308105467,0.6362454295158386,0.6308197975158691,0.6362454295158386,0.6308197975158691,0.0336320400238037,-0.5237150639295578,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-32B-Instruct_finance_to_general/prompt_only/mlp_post_resid/layer_64/mean_prompt.train_delta_pca_k1.eval_delta_compare.json,mean_prompt.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-32B-Instruct,finance,general,prompt_only,mlp_post_resid,layer_64,mean_prompt,1,True,5900,1414,True,0.1558540761470794,0.1727993935346603,0.1809178590774536,0.2905847132205963,0.2912672460079193,0.1727993935346603,0.1809178590774536,0.5084570646286011,0.5272687673568726,0.2905847132205963,0.2912672460079193,0.9138625860214232,0.9151617884635924,0.2743399739265442,0.2780113220214844,0.956032395362854,0.9567466974258424,0.8969454765319824,0.982479691505432,48.72417068481445,0.9442318081855774,0.9448074102401732,0.9442318081855774,0.9448074102401732,0.0118005871772766,-0.1177853196859359,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_32,last_prompt_token,1,True,5900,320,True,0.1706617474555969,0.0780004560947418,0.0699732452630996,0.739660382270813,0.6751099228858948,0.0780004560947418,0.0699732452630996,0.1029768958687782,0.0957266688346862,0.739660382270813,0.6751099228858948,0.4150205552577972,0.5432150959968567,0.0145715055987238,0.0091636776924133,0.7730720639228821,0.7851129174232483,0.5947956442832947,0.9111809134483336,159.42919921875,0.7726122736930847,0.7822571396827698,0.7726122736930847,0.7822571396827698,0.0004597902297973,-0.6616599261760712,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k1.eval_delta_compare.json,mean_prompt.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_32,mean_prompt,1,True,5900,320,True,0.1140058487653732,0.169236272573471,0.1710929870605468,0.373915433883667,0.3738220632076263,0.169236272573471,0.1710929870605468,0.4124901890754699,0.4145458042621612,0.373915433883667,0.3738220632076263,0.8588920831680298,0.8601770997047424,0.1721221655607223,0.1718485951423645,0.9322134852409364,0.9309348464012146,0.9046307802200316,0.9595736265182496,56.944087982177734,0.9155089259147644,0.9148156046867372,0.9155089259147644,0.9148156642913818,0.0167045593261718,-0.2046791613101959,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_64/last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_64,last_prompt_token,1,True,5900,320,True,0.1527363359928131,0.314804345369339,0.2819590866565704,1.0069752931594849,0.9994558095932008,0.314804345369339,0.2819590866565704,0.2904753684997558,0.2679426670074463,1.0069752931594849,0.9994558095932008,-0.0230570286512374,-0.0009565353393554,0.0950621217489242,0.0717929601669311,0.4349363446235657,0.4313281774520874,0.2194671928882599,0.6330791115760803,94.54766845703124,0.4137200713157654,0.4128699898719787,0.4137201309204101,0.4128700196743011,0.0212162733078002,-0.6921709477901459,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_finance_to_hbp/prompt_only/mlp_post_resid/layer_64/mean_prompt.train_delta_pca_k1.eval_delta_compare.json,mean_prompt.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,finance,hbp,prompt_only,mlp_post_resid,layer_64,mean_prompt,1,True,5900,320,True,0.1032619476318359,0.1127659529447555,0.1116520389914512,0.4561111032962799,0.454608142375946,0.1127659529447555,0.1116520389914512,0.2420133352279663,0.2422283887863159,0.4561111032962799,0.454608142375946,0.7905727624893188,0.7930560111999512,0.0629802271723747,0.0586745738983154,0.8983553051948547,0.8999859094619751,0.8269963264465332,0.9279826879501344,30.29144859313965,0.893537163734436,0.8956477642059326,0.893537163734436,0.8956477046012878,0.0048181414604187,-0.3433451503515243,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_insecure_to_hbp/prompt_only/mlp_post_resid/layer_32/last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,insecure,hbp,prompt_only,mlp_post_resid,layer_32,last_prompt_token,1,True,5900,320,True,0.3966522216796875,0.0836823731660842,0.0878822281956672,0.7195214033126831,0.7151018381118774,0.0836823731660842,0.0878822281956672,0.1168156713247299,0.1212758496403694,0.7195214033126831,0.7151018381118774,0.4805056154727936,0.4885768294334411,0.0169509872794151,0.0147078037261962,0.7168387174606323,0.720337450504303,0.598368763923645,0.8073424100875854,133.65138244628906,0.7074444890022278,0.7101132273674011,0.7074445486068726,0.7101132273674011,0.0093942284584045,-0.6358390301465988,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_insecure_to_hbp/prompt_only/mlp_post_resid/layer_32/mean_prompt.train_delta_pca_k1.eval_delta_compare.json,mean_prompt.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,insecure,hbp,prompt_only,mlp_post_resid,layer_32,mean_prompt,1,True,5900,320,True,0.4372696578502655,0.2613113820552826,0.2678409814834595,0.4172351956367492,0.4195426404476166,0.2613113820552826,0.2678409814834595,0.5287366509437561,0.5361189842224121,0.4172351956367492,0.4195426404476166,0.8255593180656433,0.8238531351089478,0.2831022143363952,0.287424087524414,0.913872241973877,0.9131172299385072,0.8947733640670776,0.9355345368385316,56.07514190673828,0.8715423345565796,0.8717817664146423,0.8715424537658691,0.8717818260192871,0.0423299074172973,-0.1559238135814666,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_insecure_to_hbp/prompt_only/mlp_post_resid/layer_64/last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,last_prompt_token.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,insecure,hbp,prompt_only,mlp_post_resid,layer_64,last_prompt_token,1,True,5900,320,True,0.520231306552887,0.3391954898834228,0.3318924605846405,0.9170217514038086,0.9156811237335204,0.3391954898834228,0.3318924605846405,0.3319587707519531,0.3367915749549866,0.9170217514038086,0.9156811237335204,0.153697058558464,0.1591849327087402,0.1230482459068298,0.1134286522865295,0.5480556488037109,0.5439751744270325,0.412665843963623,0.734957218170166,126.80099487304688,0.5861505270004272,0.5812442302703857,0.5861505270004272,0.5812442898750305,-0.0380948781967163,-0.5778262615203857,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
./eval_deltas_vs_train_delta_pca/unsloth--Qwen2.5-Coder-32B-Instruct_insecure_to_hbp/prompt_only/mlp_post_resid/layer_64/mean_prompt.train_delta_pca_k1.eval_delta_compare.json,mean_prompt.train_delta_pca_k1.eval_delta_compare.json,unsloth--Qwen2.5-Coder-32B-Instruct,insecure,hbp,prompt_only,mlp_post_resid,layer_64,mean_prompt,1,True,5900,320,True,0.4252842664718628,0.2257467061281204,0.2281160652637481,0.469041496515274,0.4668914973735809,0.2257467061281204,0.2281160652637481,0.4330580830574035,0.4351762533187866,0.469041496515274,0.4668914973735809,0.7795238494873047,0.7817281484603882,0.1903893202543258,0.1893784403800964,0.8900745511054993,0.8907420635223389,0.8589228987693787,0.9140355587005616,28.786767959594727,0.8539239764213562,0.8544349074363708,0.8539239764213562,0.8544350862503052,0.036150574684143,-0.2432947903871536,1,./deltas/delta_comparison_analysis.k1/all_delta_comparison_metrics.csv
